Year,Cause.Name,State,Deaths
2014,Suicide,Kentucky,728
2014,Suicide,Louisiana,679
2014,Suicide,Maine,220
2014,Suicide,Maryland,606
2014,Suicide,Massachusetts,596
2014,Suicide,Michigan,1354
2014,Suicide,Minnesota,686
2014,Suicide,Mississippi,380
2014,Suicide,Missouri,1017
2014,Suicide,Montana,251
2014,Suicide,Nebraska,251
2014,Suicide,Nevada,573
2014,Suicide,New Hampshire,247
2014,Suicide,New Jersey,786
2014,Suicide,New Mexico,449
2014,Suicide,New York,1700
2014,Suicide,North Carolina,1352
2014,Suicide,North Dakota,137
2014,Suicide,Ohio,1491
2014,Suicide,Oklahoma,736
2014,Suicide,Oregon,782
2014,Suicide,Pennsylvania,1817
2014,Suicide,Rhode Island,113
2014,Suicide,South Carolina,753
2014,Suicide,South Dakota,141
2014,Suicide,Tennessee,997
2014,Suicide,Texas,3254
2014,Suicide,Utah,559
2014,Suicide,Vermont,124
2014,Suicide,Virginia,1123
2014,Suicide,Washington,1119
2014,Suicide,West Virginia,359
2014,Suicide,Wisconsin,769
2014,Suicide,Wyoming,120
2013,Suicide,Alabama,721
2013,Suicide,Alaska,171
2013,Suicide,Arizona,1163
2013,Suicide,Arkansas,516
2013,Suicide,California,4025
2013,Suicide,Colorado,1007
2013,Suicide,Connecticut,330
2013,Suicide,Delaware,122
2013,Suicide,District of Columbia,38
2013,Suicide,Florida,2928
2013,Suicide,Georgia,1212
2013,Suicide,Hawaii,171
2013,Suicide,Idaho,308
2013,Suicide,Illinois,1321
2013,Suicide,Indiana,944
2013,Suicide,Iowa,447
2013,Suicide,Kansas,425
2013,Suicide,Kentucky,701
2013,Suicide,Louisiana,583
2013,Suicide,Maine,245
2013,Suicide,Maryland,569
2013,Suicide,Massachusetts,572
2013,Suicide,Michigan,1295
2013,Suicide,Minnesota,678
2013,Suicide,Mississippi,388
2013,Suicide,Missouri,960
2013,Suicide,Montana,243
2013,Suicide,Nebraska,220
2013,Suicide,Nevada,541
2013,Suicide,New Hampshire,185
2013,Suicide,New Jersey,757
2013,Suicide,New Mexico,431
2013,Suicide,New York,1687
2013,Suicide,North Carolina,1284
2013,Suicide,North Dakota,128
2013,Suicide,Ohio,1526
2013,Suicide,Oklahoma,665
2013,Suicide,Oregon,698
2013,Suicide,Pennsylvania,1788
2013,Suicide,Rhode Island,132
2013,Suicide,South Carolina,696
2013,Suicide,South Dakota,147
2013,Suicide,Tennessee,1030
2013,Suicide,Texas,3059
2013,Suicide,Utah,579
2013,Suicide,Vermont,112
2013,Suicide,Virginia,1072
2013,Suicide,Washington,1027
2013,Suicide,West Virginia,323
2013,Suicide,Wisconsin,850
2013,Suicide,Wyoming,129
2012,Suicide,Alabama,724
2012,Suicide,Alaska,168
2012,Suicide,Arizona,1156
2012,Suicide,Arkansas,485
2012,Suicide,California,3893
2012,Suicide,Colorado,1052
2012,Suicide,Connecticut,368
2012,Suicide,Delaware,125
2012,Suicide,District of Columbia,37
2012,Suicide,Florida,3002
2012,Suicide,Georgia,1168
2012,Suicide,Hawaii,190
2012,Suicide,Idaho,297
2012,Suicide,Illinois,1292
2012,Suicide,Indiana,940
2012,Suicide,Iowa,383
2012,Suicide,Kansas,502
2012,Suicide,Kentucky,724
2012,Suicide,Louisiana,567
2012,Suicide,Maine,209
2012,Suicide,Maryland,583
2012,Suicide,Massachusetts,604
2012,Suicide,Michigan,1261
2012,Suicide,Minnesota,656
2012,Suicide,Mississippi,410
2012,Suicide,Missouri,914
2012,Suicide,Montana,233
2012,Suicide,Nebraska,232
2012,Suicide,Nevada,524
2012,Suicide,New Hampshire,202
2012,Suicide,New Jersey,683
2012,Suicide,New Mexico,442
2012,Suicide,New York,1708
2012,Suicide,North Carolina,1286
2012,Suicide,North Dakota,105
2012,Suicide,Ohio,1542
2012,Suicide,Oklahoma,670
2012,Suicide,Oregon,724
2012,Suicide,Pennsylvania,1647
2012,Suicide,Rhode Island,105
2012,Suicide,South Carolina,673
2012,Suicide,South Dakota,141
2012,Suicide,Tennessee,978
2012,Suicide,Texas,3037
2012,Suicide,Utah,550
2012,Suicide,Vermont,87
2012,Suicide,Virginia,1063
2012,Suicide,Washington,1038
2012,Suicide,West Virginia,326
2012,Suicide,Wisconsin,723
2012,Suicide,Wyoming,171
2011,Suicide,Alabama,654
2011,Suicide,Alaska,143
2011,Suicide,Arizona,1160
