"","State","Year","rate_sum","Cause.Name","Deaths","Unemployment.Rate","Suicides"
"96","Nebraska",2015,2.87786738351255,"Suicide",223,2.88,223
"97","Nevada",2000,4.75147058823529,"Suicide",400,4.75,400
"98","Nevada",2005,4.36911764705882,"Suicide",480,4.37,480
"99","Nevada",2010,12.1083333333333,"Suicide",547,12.11,547
"100","Nevada",2015,6.86127450980392,"Suicide",558,6.86,558
"101","New Hampshire",2000,2.67916666666667,"Suicide",131,2.68,131
"102","New Hampshire",2005,3.4025,"Suicide",162,3.4,162
"103","New Hampshire",2010,5.79666666666667,"Suicide",196,5.8,196
"104","New Hampshire",2015,3.4225,"Suicide",228,3.42,228
"105","New Jersey",2000,3.80238095238095,"Suicide",560,3.8,560
"106","New Jersey",2005,4.5797619047619,"Suicide",536,4.58,536
"107","New Jersey",2010,9.95079365079365,"Suicide",719,9.95,719
"108","New Jersey",2015,6.0515873015873,"Suicide",789,6.05,789
"109","New Mexico",2000,5.70656565656566,"Suicide",327,5.71,327
"110","New Mexico",2005,5.5969696969697,"Suicide",342,5.6,342
"111","New Mexico",2010,8.71489898989899,"Suicide",413,8.71,413
"112","New Mexico",2015,7.24343434343434,"Suicide",500,7.24,500
"113","New York",2000,4.27352150537634,"Suicide",1132,4.27,1132
"114","New York",2005,4.94301075268817,"Suicide",1189,4.94,1189
"115","New York",2010,8.61102150537634,"Suicide",1547,8.61,1547
"116","New York",2015,5.58225806451613,"Suicide",1652,5.58,1652
"117","North Carolina",2000,4.32841666666667,"Suicide",971,4.33,971
"118","North Carolina",2005,5.68975,"Suicide",1009,5.69,1009
"119","North Carolina",2010,11.7134166666667,"Suicide",1174,11.71,1174
"120","North Carolina",2015,6.4425,"Suicide",1406,6.44,1406
"121","North Dakota",2000,3.45094339622641,"Suicide",68,3.45,68
"122","North Dakota",2005,3.95204402515723,"Suicide",92,3.95,92
"123","North Dakota",2010,3.97751572327044,"Suicide",106,3.98,106
"124","North Dakota",2015,3.25283018867925,"Suicide",124,3.25,124
"125","Ohio",2000,4.65625,"Suicide",1088,4.66,1088
"126","Ohio",2005,6.48882575757576,"Suicide",1341,6.49,1341
"127","Ohio",2010,11.4318181818182,"Suicide",1439,11.43,1439
"128","Ohio",2015,5.31458333333333,"Suicide",1650,5.31,1650
"129","Oklahoma",2000,3.27532467532468,"Suicide",497,3.28,497
"130","Oklahoma",2005,4.59837662337662,"Suicide",522,4.6,522
"131","Oklahoma",2010,7.16298701298701,"Suicide",618,7.16,618
"132","Oklahoma",2015,4.7465367965368,"Suicide",790,4.75,790
"133","Oregon",2000,6.21712962962963,"Suicide",493,6.22,493
"134","Oregon",2005,6.88981481481482,"Suicide",560,6.89,560
"135","Oregon",2010,11.4023148148148,"Suicide",685,11.4,685
"136","Oregon",2015,6.55162037037037,"Suicide",762,6.55,762
"137","Pennsylvania",2000,4.4660447761194,"Suicide",1356,4.47,1356
"138","Pennsylvania",2005,5.27773631840796,"Suicide",1430,5.28,1430
"139","Pennsylvania",2010,8.92089552238806,"Suicide",1576,8.92,1576
"140","Pennsylvania",2015,5.4726368159204,"Suicide",1894,5.47,1894
"141","Rhode Island",2000,3.77833333333333,"Suicide",75,3.78,75
"142","Rhode Island",2005,4.66166666666667,"Suicide",71,4.66,71
"143","Rhode Island",2010,10.435,"Suicide",129,10.44,129
"144","Rhode Island",2015,5.52833333333333,"Suicide",127,5.53,127
"145","South Carolina",2000,4.52699275362319,"Suicide",443,4.53,443
"146","South Carolina",2005,7.95525362318841,"Suicide",510,7.96,510
"147","South Carolina",2010,13.1507246376812,"Suicide",637,13.15,637
"148","South Carolina",2015,7.03967391304348,"Suicide",742,7.04,742
"149","South Dakota",2000,3.11590909090909,"Suicide",95,3.12,95
"150","South Dakota",2005,4.4790404040404,"Suicide",121,4.48,121
